gene_id,Col0_AWF_NT_R4,Col0_AWF_NT_R5,Col0_AWF_NT_R6,Col0_CL_R1,Col0_CL_R2,Col0_CL_R3,Col0_CL_ribo_R1,Col0_CL_ribo_R2,Col0_CL_ribo_R3,Col0_LSW_R1,Col0_LSW_R2,Col0_LSW_R3
AT1G01010,0,0,0,0,0,6,11,8,21,0,0,0
AT1G01020,0,0,0,13,0,0,28,15,19,0,0,0
AT1G01030,0,0,0,0,0,0,3,3,0,0,0,0
AT1G01040,9,0,0,88,10,72,274,54,340,5,0,0
AT1G01046,0,0,0,0,0,0,2,5,0,0,0,0
AT1G01050,0,0,0,19,0,19,136,45,73,0,0,0
AT1G01060,0,0,0,33,0,0,181,0,17,0,0,0
AT1G01070,0,0,0,0,0,0,0,2,7,0,0,0
AT1G01073,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01080,0,0,0,46,0,13,139,29,88,5,0,0
AT1G01090,0,0,0,163,11,104,334,146,221,9,0,0
AT1G01100,0,0,0,44,5,40,180,104,210,0,0,0
AT1G01110,0,0,0,0,0,0,3,0,8,0,0,0
AT1G01115,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01120,5,2,2,83,0,52,311,38,239,0,0,0
AT1G01130,0,0,0,0,0,2,7,0,14,0,0,0
AT1G01140,0,0,0,115,15,44,413,295,227,7,0,0
AT1G01150,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01160,0,0,0,28,8,22,60,68,109,8,0,0
AT1G01170,0,0,0,20,0,31,132,144,144,0,0,0
AT1G01180,0,3,0,11,9,20,37,86,48,0,0,0
AT1G01183,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01190,0,0,0,3,0,0,0,0,0,0,0,0
AT1G01200,0,0,0,0,0,0,9,0,0,0,0,0
AT1G01210,0,0,0,9,0,0,20,9,11,0,0,0
AT1G01220,0,0,0,27,0,0,55,21,35,0,0,0
AT1G01225,0,0,0,2,0,0,9,0,5,0,0,0
AT1G01230,0,0,0,37,6,21,96,82,84,0,0,0
AT1G01240,0,0,0,37,6,7,146,113,83,9,0,0
AT1G01250,0,0,0,15,0,0,65,31,7,0,0,0
AT1G01260,0,0,0,23,3,11,94,62,129,0,0,0
AT1G01270,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01280,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01290,0,0,0,8,0,7,39,38,36,0,0,0
AT1G01300,4,7,0,99,0,40,135,34,120,3,0,0
AT1G01305,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01310,0,0,0,0,0,0,8,0,0,0,0,0
AT1G01320,18,15,7,526,16,194,1531,253,935,9,0,0
AT1G01340,0,0,0,9,0,19,29,26,35,3,0,0
AT1G01350,0,0,0,21,0,11,63,10,43,0,0,0
AT1G01355,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01360,0,0,0,15,0,7,94,34,44,0,0,0
AT1G01370,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01380,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01390,0,0,0,13,3,3,58,2,3,0,0,0
AT1G01400,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01410,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01420,0,0,0,31,0,6,107,17,18,3,0,0
AT1G01430,0,6,0,46,8,37,113,43,116,0,0,0
AT1G01440,0,0,0,45,5,24,130,63,125,0,0,0
AT1G01448,0,0,0,17,0,15,21,8,51,0,0,0
AT1G01450,0,0,0,2,0,0,0,1,17,3,0,0
AT1G01453,0,0,0,0,0,0,0,4,0,0,0,0
AT1G01460,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01470,16,13,24,184,12,31,519,210,142,26,0,0
AT1G01471,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01480,0,0,0,0,0,0,0,6,0,0,0,0
AT1G01490,7,6,0,85,11,71,255,348,288,14,0,0
AT1G01500,0,0,0,33,0,13,126,48,50,0,0,0
AT1G01510,0,0,0,36,0,21,96,22,82,0,0,0
AT1G01520,0,0,0,8,0,0,22,0,0,0,0,0
AT1G01530,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01540,0,0,0,73,0,60,310,79,298,9,0,0
AT1G01550,0,0,0,188,28,98,639,338,486,24,0,0
AT1G01560,0,0,0,33,3,5,98,14,9,0,0,0
AT1G01570,0,0,0,0,0,0,7,3,0,0,0,0
AT1G01580,0,0,0,0,6,0,11,0,0,0,0,0
AT1G01590,0,0,0,0,0,0,7,0,0,0,0,0
AT1G01600,0,0,0,4,0,0,26,0,3,0,0,0
AT1G01610,0,0,0,113,0,53,103,33,42,0,0,0
AT1G01620,0,0,0,94,15,293,374,483,1458,0,0,0
AT1G01630,0,0,0,63,0,3,248,34,94,14,0,0
AT1G01640,0,0,0,0,0,0,11,26,9,0,0,0
AT1G01650,0,0,0,51,9,35,190,113,167,0,0,0
AT1G01660,0,0,0,0,0,0,10,5,0,0,0,0
AT1G01670,0,0,0,0,0,0,0,7,0,0,0,0
AT1G01680,0,0,0,0,0,0,25,0,0,0,0,0
AT1G01690,0,0,0,6,0,0,21,0,6,0,0,0
AT1G01695,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01700,0,0,0,0,0,3,12,12,13,0,0,0
AT1G01710,0,0,0,25,0,13,120,58,69,0,0,0
AT1G01720,6,0,0,21,6,7,129,81,32,0,0,0
AT1G01725,0,0,0,7,0,2,19,38,35,0,0,0
AT1G01730,0,0,0,33,0,11,80,76,75,0,0,0
AT1G01740,0,0,0,10,3,0,30,20,14,0,0,0
AT1G01750,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01760,0,0,0,8,0,0,15,12,10,0,0,0
AT1G01770,0,0,0,12,0,0,24,40,29,0,0,0
AT1G01780,0,0,0,0,0,5,14,0,13,0,0,0
AT1G01790,0,0,0,188,0,27,763,40,173,0,0,0
AT1G01800,0,0,0,57,9,15,210,127,83,0,0,0
AT1G01810,0,0,0,0,0,0,6,0,3,0,0,0
AT1G01820,0,0,0,36,0,37,146,255,203,6,0,0
AT1G01830,0,0,0,47,3,13,198,84,42,0,0,0
AT1G01840,0,0,0,0,0,0,6,2,10,0,0,0
AT1G01860,0,0,0,7,0,5,28,26,31,0,0,0
AT1G01870,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01880,0,0,0,0,0,0,0,0,9,0,0,0
AT1G01890,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01900,0,0,0,19,0,0,14,0,0,0,0,0
AT1G01910,0,0,0,33,0,35,132,37,127,0,0,0
AT1G01920,0,0,0,0,0,15,44,32,70,0,0,0
AT1G01930,0,0,0,0,0,10,68,7,33,0,0,0
AT1G01940,0,0,0,10,0,0,22,13,17,0,0,0
AT1G01950,0,0,0,18,0,14,161,0,132,5,0,0
AT1G01960,0,6,0,208,6,118,630,119,567,20,0,0
AT1G01970,0,0,0,22,3,9,46,7,35,0,0,0
AT1G01980,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01990,0,0,0,13,0,4,55,62,25,4,0,0
AT1G02000,0,0,0,17,0,6,42,9,38,0,0,0
AT1G02010,0,0,0,11,0,0,55,5,16,0,0,0
AT1G02020,3,0,0,37,0,9,18,19,9,3,0,0
AT1G02030,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02040,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02050,0,0,0,19,3,0,0,5,28,0,0,0
AT1G02060,0,0,0,6,2,13,6,9,37,0,0,0
AT1G02065,0,0,0,0,0,3,0,0,0,0,0,0
AT1G02070,0,0,0,0,0,3,0,0,6,0,0,0
AT1G02074,0,0,0,0,0,0,0,2,0,0,0,0
AT1G02080,0,0,0,240,0,169,572,71,440,28,0,0
AT1G02090,0,0,0,24,0,0,97,48,78,6,0,0
AT1G02100,0,0,0,29,0,24,107,102,127,0,0,0
AT1G02110,0,0,0,30,0,28,39,11,71,0,0,0
AT1G02120,0,0,0,112,13,65,477,284,323,10,0,0
AT1G02130,0,0,0,29,0,11,127,52,89,0,0,0
AT1G02136,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02140,0,0,0,53,0,24,190,110,154,5,0,0
AT1G02145,0,0,0,0,0,11,90,40,39,0,0,0
AT1G02150,0,0,0,58,0,32,186,88,208,0,3,0
AT1G02160,0,0,0,10,0,3,48,24,39,0,0,0
AT1G02170,0,0,0,39,0,28,65,61,57,0,0,0
AT1G02180,0,0,0,0,0,0,8,0,10,0,0,0
AT1G02190,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02205,0,0,0,88,0,24,174,10,77,0,0,0
AT1G02210,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02220,0,0,0,0,0,0,25,0,0,0,0,0
AT1G02228,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02230,0,0,0,6,0,0,8,0,0,0,0,0
AT1G02250,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02260,0,0,0,15,12,11,48,53,56,0,0,0
AT1G02270,0,0,0,41,0,8,157,17,37,0,0,0
AT1G02280,0,0,0,7,3,22,45,46,147,0,0,0
AT1G02290,0,0,0,12,0,0,46,0,14,3,0,0
AT1G02300,0,0,0,22,0,7,111,36,71,0,0,0
AT1G02305,0,0,0,74,9,32,306,436,276,0,0,0
AT1G02310,0,0,0,0,0,0,0,7,0,0,0,0
AT1G02320,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02330,0,0,0,11,0,0,69,48,56,0,0,0
AT1G02335,0,0,0,16,0,0,14,0,0,0,0,0
AT1G02340,0,0,0,11,6,29,22,114,123,0,0,0
AT1G02350,0,0,0,0,0,0,0,6,0,0,0,0
AT1G02360,0,0,0,8,0,5,18,0,15,0,0,0
AT1G02370,0,0,0,0,0,6,18,26,31,0,0,0
AT1G02380,0,0,0,0,0,0,0,0,15,0,0,0
AT1G02390,0,0,0,27,0,0,52,3,0,0,0,0
AT1G02391,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02400,0,0,13,0,0,5,7,11,13,0,0,0
AT1G02405,0,0,0,0,0,0,2,0,2,0,0,0
AT1G02410,0,0,0,13,0,9,96,22,48,0,0,0
AT1G02420,0,0,0,0,0,2,7,7,23,0,0,0
AT1G02430,0,0,0,0,0,0,0,0,3,0,0,0
AT1G02440,0,0,0,0,0,0,5,0,0,0,0,0
AT1G02450,0,0,0,10,0,0,56,3,0,0,0,0
AT1G02460,0,0,0,11,0,0,15,0,0,0,0,0
AT1G02470,0,0,0,0,0,3,0,56,9,0,0,0
AT1G02475,0,0,0,51,0,0,119,89,41,0,0,0
AT1G02480,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02490,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02500,23,23,4,342,10,216,919,98,670,48,0,0
AT1G02510,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02520,0,0,0,0,0,0,6,0,0,0,0,0
AT1G02530,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02540,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02550,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02560,0,0,0,171,21,43,633,417,259,30,0,0
AT1G02570,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02575,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02580,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02590,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02600,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02610,0,0,0,0,0,14,25,97,118,0,0,0
AT1G02620,0,0,0,0,0,0,0,0,7,0,0,0
AT1G02630,0,0,0,0,0,0,0,0,6,0,0,0
AT1G02640,0,0,0,0,0,26,33,0,199,0,0,0
AT1G02650,0,0,0,0,0,0,0,0,4,0,0,0
AT1G02660,13,5,0,40,0,36,94,111,210,0,0,0
AT1G02670,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02680,0,0,0,0,0,15,28,29,22,0,0,0
AT1G02681,0,0,0,0,0,0,1,0,0,0,0,0
AT1G02690,0,0,3,0,0,0,0,5,21,0,0,0
AT1G02700,0,0,0,0,0,0,3,0,0,0,0,0
AT1G02710,0,0,0,0,0,2,0,0,2,0,0,0
AT1G02720,0,0,0,10,0,3,32,4,21,0,0,0
AT1G02730,0,0,0,5,0,0,44,0,9,0,0,0
AT1G02740,0,0,0,5,0,0,31,23,18,0,0,0
AT1G02750,0,0,0,6,0,11,35,41,30,0,0,0
AT1G02760,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02770,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02780,16,0,0,264,13,144,915,268,717,47,0,0
AT1G02790,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02800,0,0,0,0,0,0,2,0,0,0,0,0
AT1G02810,0,0,0,0,0,2,0,0,0,0,0,0
AT1G02813,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02816,0,0,0,8,2,6,15,55,55,0,0,0
AT1G02820,0,0,0,26,0,0,90,0,0,0,0,0
AT1G02830,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02840,0,0,0,85,11,107,245,252,447,0,0,0
AT1G02850,0,0,0,33,0,0,70,59,58,0,0,0
AT1G02860,0,0,0,8,3,9,27,81,64,0,0,0
AT1G02870,0,0,0,8,0,9,25,21,46,6,0,0
AT1G02880,0,0,0,36,0,0,75,30,26,0,0,0
AT1G02890,21,13,0,91,0,75,374,82,328,9,0,0
AT1G02900,0,0,0,0,0,0,0,0,0,2,0,0
AT1G02910,0,0,0,42,3,11,114,49,73,0,0,0
AT1G02920,9,19,6,35,16,22,164,201,122,44,0,0
AT1G02930,11,14,0,77,18,35,215,307,151,38,0,0
AT1G02940,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02950,0,0,0,0,0,0,11,0,0,0,0,0
AT1G02952,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02960,0,0,0,22,0,0,63,7,36,0,0,0
AT1G02965,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02970,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02980,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02990,0,0,0,27,0,19,166,28,65,0,0,0
AT1G03000,0,0,0,43,0,13,90,28,89,0,0,0
AT1G03010,0,0,0,0,0,0,0,0,22,0,0,0
AT1G03020,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03022,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03030,0,0,0,10,0,7,25,0,25,0,0,0
AT1G03040,0,0,0,45,17,11,143,131,119,8,0,0
AT1G03050,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03055,0,0,0,0,0,0,36,0,0,0,0,0
AT1G03060,7,0,6,176,0,79,536,27,397,15,0,0
AT1G03070,0,0,0,0,0,0,6,0,0,0,0,0
AT1G03080,8,10,0,147,3,80,555,38,414,24,0,0
AT1G03090,0,0,0,18,10,137,74,218,699,0,0,0
AT1G03100,0,0,0,0,0,3,7,5,8,0,0,0
AT1G03103,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03106,0,0,0,0,0,0,0,3,0,0,0,0
AT1G03110,0,0,0,0,3,10,16,0,0,0,0,0
AT1G03120,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03130,5,3,6,1673,23,292,990,200,154,65,0,0
AT1G03140,0,0,5,52,0,56,191,91,217,8,0,0
AT1G03150,0,0,0,0,0,0,43,0,39,0,0,0
AT1G03160,0,0,0,85,0,42,266,68,178,0,0,0
AT1G03170,0,0,0,2,0,0,0,0,0,0,0,0
AT1G03180,0,0,0,0,0,0,6,0,3,0,0,0
AT1G03190,0,0,0,22,0,4,41,13,38,0,0,0
AT1G03200,0,0,0,0,0,0,1,7,11,0,0,0
AT1G03210,0,0,0,8,0,7,55,19,30,0,0,0
AT1G03220,2,3,0,54,4,27,99,35,58,2,0,0
AT1G03230,0,0,2,18,4,4,30,6,21,0,0,0
AT1G03240,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03250,0,0,0,25,0,13,111,36,57,3,0,0
AT1G03260,0,0,0,0,0,0,28,13,36,0,0,0
AT1G03270,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03280,0,0,0,33,0,19,133,28,91,0,0,0
AT1G03290,0,0,0,60,0,21,263,161,79,14,0,0
AT1G03300,0,0,0,0,0,7,25,0,64,0,0,0
AT1G03310,0,0,0,101,0,5,413,26,31,0,0,0
AT1G03320,0,0,0,0,0,0,3,0,0,0,0,0
AT1G03330,0,0,0,6,0,4,52,36,23,0,0,0
AT1G03340,0,0,0,0,0,0,11,0,0,0,0,0
AT1G03350,0,0,0,30,5,26,193,58,103,7,0,0
AT1G03360,0,0,0,0,0,12,19,18,13,0,0,0
AT1G03365,0,0,0,22,0,27,82,17,92,6,0,0
AT1G03370,0,0,0,54,8,57,262,29,171,0,0,0
AT1G03380,0,0,0,101,3,57,266,85,173,9,0,0
AT1G03390,0,0,0,2,0,0,0,9,0,0,0,0
AT1G03400,0,0,0,72,0,15,244,84,70,5,0,0
AT1G03410,0,0,0,10,0,12,10,0,27,0,0,0
AT1G03420,0,0,0,1,2,0,78,19,37,7,0,0
AT1G03430,0,0,0,22,0,8,154,43,38,0,0,0
AT1G03440,0,0,0,24,5,12,99,10,60,0,0,0
AT1G03445,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03457,0,0,0,0,0,12,0,5,20,0,0,0
AT1G03470,0,0,0,0,0,11,0,6,32,0,0,0
AT1G03475,0,0,0,112,15,59,514,150,251,0,0,0
AT1G03490,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03495,1,0,0,19,0,2,46,13,33,0,0,0
AT1G03502,0,0,0,0,0,0,3,6,3,0,0,0
AT1G03506,0,0,0,0,0,0,1,0,4,0,0,0
AT1G03510,0,0,0,0,0,0,0,0,2,0,0,0
AT1G03515,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03520,0,0,0,12,0,8,68,48,34,0,0,0
AT1G03530,0,0,0,10,0,15,43,12,69,0,0,0
AT1G03540,0,0,0,0,0,0,17,3,14,0,0,0
AT1G03545,0,0,0,0,0,0,4,0,0,0,0,0
AT1G03550,0,0,0,0,0,0,32,48,22,0,0,0
AT1G03560,0,0,0,7,0,8,56,12,46,0,0,0
AT1G03570,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03580,0,0,0,0,0,12,0,17,73,0,0,0
AT1G03590,0,0,0,14,0,16,38,42,126,0,0,0
AT1G03600,2,3,0,304,14,136,1151,206,544,4,0,0
AT1G03610,0,0,0,23,18,49,97,186,312,7,0,0
AT1G03620,0,0,0,0,0,0,12,0,0,0,0,0
AT1G03630,0,0,0,200,0,16,781,46,86,0,0,0
AT1G03640,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03650,0,0,0,0,0,0,6,9,13,0,0,0
AT1G03660,0,0,0,0,0,0,0,2,0,0,0,0
AT1G03670,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03680,0,0,0,217,13,54,784,279,261,12,0,0
AT1G03687,0,0,0,7,0,0,22,0,37,0,0,0
AT1G03700,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03710,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03720,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03730,0,0,2,10,0,11,84,14,28,0,0,0
AT1G03740,19,12,3,83,0,54,352,96,282,18,0,0
AT1G03743,0,0,0,0,0,0,1,1,0,0,0,0
AT1G03746,0,0,0,0,0,0,0,3,0,0,0,0
AT1G03750,0,0,0,8,0,0,36,0,18,0,0,0
AT1G03760,0,0,0,6,0,26,21,28,65,0,0,0
AT1G03770,0,0,0,10,0,8,21,0,36,0,0,0
AT1G03780,0,0,0,0,0,0,15,0,0,0,0,0
AT1G03790,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03800,0,0,0,0,0,0,0,0,1,0,0,0
AT1G03810,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03820,0,0,0,2,0,0,31,12,3,2,0,0
AT1G03830,0,0,0,0,0,16,13,0,30,0,0,0
AT1G03840,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03850,0,0,0,0,0,0,13,2,14,0,0,0
AT1G03860,0,0,0,15,8,23,86,73,67,0,0,0
AT1G03870,6,0,0,8,5,174,12,13,352,0,0,0
AT1G03880,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03890,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03900,0,0,0,71,8,34,225,228,225,12,0,0
AT1G03905,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03910,0,0,0,36,0,39,124,9,175,11,0,0
AT1G03920,0,0,0,6,0,0,0,0,0,0,0,0
AT1G03930,0,0,0,48,0,0,236,30,78,6,0,0
AT1G03935,0,0,0,0,0,1,5,8,2,0,0,0
AT1G03940,0,0,0,29,2,0,51,25,15,0,0,0
AT1G03950,0,0,0,16,0,7,27,21,21,0,0,0
AT1G03960,0,0,0,0,0,0,31,9,18,0,0,0
AT1G03970,0,0,2,57,0,19,177,128,75,0,0,0
AT1G03980,0,0,0,0,0,0,0,4,0,0,0,0
AT1G03982,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03990,0,0,0,24,0,3,0,0,0,0,0,0
AT1G04000,0,0,0,23,0,6,22,12,11,0,0,0
AT1G04010,0,0,0,17,3,3,71,19,16,0,0,0
AT1G04020,0,0,0,8,0,0,18,0,0,0,0,0
AT1G04030,0,0,0,0,0,0,10,0,0,0,0,0
AT1G04040,0,0,0,18,0,35,52,17,191,0,0,0
AT1G04050,0,0,0,0,0,0,9,0,0,0,0,0
AT1G04070,0,0,0,3,0,3,14,6,9,0,0,0
AT1G04080,0,0,0,52,0,46,93,56,211,0,0,0
AT1G04090,0,0,0,0,0,0,0,0,0,0,0,0
AT1G04100,0,0,0,0,0,0,17,0,2,0,0,0
AT1G04110,0,0,0,0,0,3,8,0,2,0,0,0
AT1G04120,0,0,0,72,5,20,273,47,127,0,0,0
AT1G04130,0,0,0,0,0,0,33,8,13,0,0,0
AT1G04140,0,0,0,159,9,64,418,223,381,0,0,0
AT1G04150,0,0,0,0,0,0,0,0,0,0,0,0
AT1G04160,0,0,0,20,0,0,63,0,27,5,0,0
AT1G04170,0,0,0,38,0,34,164,63,178,5,0,0
AT1G04171,0,0,0,0,0,0,0,0,0,0,0,0
AT1G04180,0,0,0,0,0,0,6,0,0,0,0,0
AT1G04190,0,0,0,6,0,0,60,34,38,0,0,0
AT1G04200,0,0,0,23,0,0,150,23,52,6,3,0
AT1G04210,0,0,0,44,16,40,226,54,166,9,0,0
AT1G04220,0,0,0,22,0,5,18,0,3,0,0,0
AT1G04230,0,0,0,15,0,0,51,0,33,0,0,0
AT1G04240,0,0,0,30,0,66,163,75,190,3,0,0
AT1G04250,0,0,0,31,0,0,156,0,0,8,0,0
AT1G04260,0,0,0,15,6,24,53,28,26,0,0,0
AT1G04270,0,0,3,51,0,51,290,203,300,20,0,0
AT1G04280,0,0,0,11,0,15,44,29,140,9,0,0
AT1G04290,0,0,0,9,0,6,67,15,21,0,0,0
AT1G04295,0,0,0,0,3,3,0,0,0,13,0,0
AT1G04300,0,0,0,110,0,118,306,46,509,0,0,0
AT1G04310,0,0,0,8,0,6,10,13,30,0,0,0
AT1G04320,0,0,0,0,0,0,0,0,0,0,0,0
AT1G04330,0,0,0,0,0,0,0,0,0,0,0,0
AT1G04340,0,0,0,15,0,5,35,19,24,0,0,0
AT1G04350,0,0,0,72,14,8,320,51,46,0,0,0
AT1G04360,0,0,0,2,0,0,6,2,4,0,0,0
AT1G04370,0,0,0,0,0,0,0,0,0,0,0,0
AT1G04380,0,0,0,0,0,0,0,0,0,0,0,0
AT1G04390,0,0,0,6,0,11,36,13,30,3,0,0
AT1G04400,0,10,0,149,8,75,643,240,571,0,0,0
AT1G04410,11,0,6,357,29,201,1740,658,1090,31,0,0
AT1G04420,0,0,0,57,0,18,252,37,102,3,0,0
AT1G04425,0,0,0,0,0,0,0,0,0,0,0,0
AT1G04430,10,0,0,149,0,80,526,112,523,9,0,0
AT1G04440,0,0,0,64,9,43,247,190,173,20,0,0
AT1G04445,0,0,0,0,0,0,0,0,0,0,0,0
AT1G04450,0,0,0,0,0,0,0,0,0,0,0,0
AT1G04457,0,0,0,0,0,0,0,0,0,0,0,0
AT1G04470,0,0,0,0,0,0,0,0,0,0,0,0
AT1G04480,0,0,0,18,5,9,144,123,94,0,0,0
AT1G04490,0,0,0,0,0,0,5,0,0,0,0,0
AT1G04500,0,0,0,0,0,0,0,3,0,0,0,0
AT1G04501,0,0,0,0,0,0,0,0,0,0,0,0
AT1G04510,0,0,0,37,0,11,119,71,129,5,0,0
AT1G04520,0,0,0,0,0,0,23,0,0,0,0,0
AT1G04530,0,0,0,105,0,8,452,57,51,7,0,0
AT1G04540,0,0,0,10,0,0,25,0,2,0,0,0
AT1G04550,0,0,0,13,0,9,120,19,33,0,0,0
AT1G04555,0,0,0,8,0,0,26,18,0,0,0,0
AT1G04560,0,0,0,0,0,0,0,0,0,0,0,0
AT1G04570,0,0,0,12,0,0,72,0,0,0,0,0
AT1G04580,0,0,0,0,0,0,0,0,0,0,0,0
AT1G04590,0,0,0,0,0,0,42,0,27,0,0,0
AT1G04600,0,0,0,0,0,0,27,0,0,0,0,0
AT1G04610,0,0,0,0,0,0,0,0,0,0,0,0
AT1G04620,0,0,0,0,0,23,39,122,82,0,0,0
AT1G04625,0,0,0,0,0,0,0,4,4,0,0,0
AT1G04630,0,0,0,5,0,0,54,5,20,0,0,0
AT1G04635,0,0,0,0,0,0,0,0,5,0,0,0
AT1G04640,0,0,0,24,0,5,71,16,11,0,0,0
AT1G04645,0,0,0,0,0,0,0,0,0,0,0,0
AT1G04650,0,0,0,0,0,3,14,0,0,0,0,0
AT1G04660,0,0,0,0,0,3,0,0,26,0,0,0
AT1G04670,0,0,0,0,0,0,0,0,0,0,0,0
AT1G04680,0,0,0,144,0,57,475,13,137,0,0,0
AT1G04684,0,0,0,0,0,0,0,0,0,0,0,0
AT1G04690,0,0,0,116,30,13,463,142,151,6,0,0
AT1G04700,0,0,0,0,0,3,9,0,0,0,0,0
AT1G04710,0,0,0,26,0,8,67,30,19,0,0,0
AT1G04720,0,0,0,0,0,0,0,0,0,0,0,0
AT1G04730,0,0,0,0,0,0,12,0,0,0,0,0
AT1G04750,0,0,0,68,10,25,239,100,225,0,0,0
AT1G04760,0,0,0,0,0,0,0,0,0,0,0,0
AT1G04770,0,0,0,31,0,0,186,10,10,0,0,0
AT1G04778,0,0,0,0,0,0,0,0,0,0,0,0
AT1G04780,0,0,0,45,5,42,272,70,219,0,0,0
AT1G04790,0,0,0,29,0,14,72,16,57,0,0,0
AT1G04800,0,0,0,24,0,15,80,0,48,0,0,0
AT1G04810,0,0,0,56,0,42,153,52,164,0,0,0
AT1G04820,0,5,5,183,0,114,464,43,582,24,0,0
AT1G04830,0,0,0,21,0,12,68,49,31,0,0,0
AT1G04840,0,0,0,0,0,3,6,0,9,0,0,0
AT1G04850,0,0,0,82,0,36,252,51,172,7,0,0
AT1G04860,0,0,0,29,0,16,117,78,121,0,0,0
AT1G04870,0,0,0,9,3,15,60,45,108,0,0,0
AT1G04880,0,0,0,0,0,0,0,0,0,0,0,0
AT1G04890,0,0,0,0,0,0,0,0,0,0,0,0
AT1G04900,0,0,0,0,0,5,8,0,30,0,0,0
AT1G04910,0,0,0,27,0,25,119,40,67,0,0,0
AT1G04920,0,0,0,3,0,0,0,0,0,0,0,0
AT1G04930,0,0,0,0,0,0,3,0,0,0,0,0
AT1G04940,0,0,0,33,0,0,105,54,62,0,0,0
AT1G04945,0,0,0,8,0,21,33,0,20,0,0,0
AT1G04950,0,0,0,10,0,13,50,56,73,8,0,0
AT1G04960,0,0,0,17,0,0,108,27,37,8,0,0
AT1G04970,0,0,0,27,0,12,72,52,29,3,0,0
