gene_id,Col0_AWF_NT_R4,Col0_AWF_NT_R5,Col0_AWF_NT_R6,Col0_CL_R1,Col0_CL_R2,Col0_CL_R3,Col0_CL_ribo_R1,Col0_CL_ribo_R2,Col0_CL_ribo_R3,Col0_LSW_R1,Col0_LSW_R2,Col0_LSW_R3
AT4G36130,0,0,0,19,7,38,101,63,125,3,0,0
AT4G36140,0,0,0,26,0,17,135,16,126,0,0,0
AT4G36150,0,0,0,25,0,0,142,10,85,0,0,0
AT4G36160,0,0,0,0,0,0,0,0,0,3,0,0
AT4G36170,0,0,0,0,0,0,0,0,0,0,0,0
AT4G36180,0,0,0,8,0,12,0,12,30,0,0,0
AT4G36190,0,3,0,49,0,14,203,69,54,0,0,0
AT4G36195,0,0,0,80,0,19,313,110,117,0,0,0
AT4G36197,0,0,0,0,0,0,0,0,0,0,0,0
AT4G36210,0,0,0,140,0,44,642,229,249,9,0,0
AT4G36220,0,0,0,206,0,30,713,88,110,8,0,0
AT4G36230,0,0,0,0,0,0,1,0,2,0,0,0
AT4G36240,0,0,0,14,0,0,82,5,5,0,0,0
AT4G36245,0,0,0,0,0,0,0,0,0,0,0,0
AT4G36250,0,0,0,186,0,33,552,33,124,10,0,0
AT4G36260,0,0,0,0,0,0,0,3,0,0,0,0
AT4G36268,0,0,0,0,0,0,0,0,0,0,0,0
AT4G36270,0,0,0,0,0,0,0,0,5,0,0,0
AT4G36280,0,0,0,13,0,0,38,3,0,0,0,0
AT4G36290,0,0,0,0,0,21,69,13,39,0,0,0
AT4G36350,0,0,0,0,0,0,0,0,0,0,0,0
AT4G36360,0,0,0,333,0,40,1122,0,100,5,0,0
AT4G36370,0,0,0,0,0,0,0,0,0,0,0,0
AT4G36380,0,0,0,5,0,8,0,0,16,0,0,0
AT4G36390,0,0,0,66,5,34,175,62,167,0,0,0
AT4G36400,0,0,0,0,0,0,75,24,36,0,0,0
AT4G36410,0,0,0,0,0,0,5,0,0,0,0,0
AT4G36420,0,0,0,11,0,6,58,8,34,0,0,0
AT4G36430,0,0,0,0,0,0,0,0,0,0,0,0
AT4G36440,0,0,0,12,0,21,67,34,90,6,0,0
AT4G36450,0,0,0,0,0,0,0,0,3,0,0,0
AT4G36460,0,0,0,0,0,0,0,0,0,0,0,0
AT4G36470,0,0,0,0,0,0,8,14,0,0,0,0
AT4G36480,0,0,0,10,0,0,98,52,104,0,0,0
AT4G36490,0,0,0,0,0,0,0,0,0,0,0,0
AT4G36500,5,8,2,76,0,57,369,155,184,26,0,0
AT4G36510,0,0,0,0,0,0,0,2,0,0,0,0
AT4G36515,0,0,0,8,0,0,39,44,30,0,0,0
AT4G36520,0,0,0,95,0,35,200,4,239,8,0,0
AT4G36530,0,0,0,80,0,6,247,24,28,0,0,0
AT4G36540,0,0,0,58,0,17,135,37,119,0,0,0
AT4G36550,0,0,0,47,0,17,195,39,72,0,0,0
AT4G36560,0,0,0,0,0,0,0,0,0,0,0,0
AT4G36570,0,0,0,0,0,3,0,0,0,0,0,0
AT4G36580,0,0,0,0,0,0,0,0,15,0,0,0
AT4G36590,0,0,0,0,0,0,0,0,0,0,0,0
AT4G36600,0,0,0,0,0,0,0,0,0,0,0,0
AT4G36610,0,0,0,0,0,0,0,0,0,0,0,0
AT4G36620,0,0,0,0,0,0,5,0,2,0,0,0
AT4G36630,0,0,0,55,0,25,125,29,136,0,0,0
AT4G36635,0,0,0,0,0,0,0,0,0,0,0,0
AT4G36640,0,0,0,23,0,0,63,12,8,0,0,0
AT4G36648,0,0,0,98,27,28,452,344,188,6,0,0
AT4G36650,0,0,0,17,3,10,41,11,23,0,0,0
AT4G36660,0,0,0,44,0,7,95,8,34,0,0,0
AT4G36670,5,0,0,8,0,42,24,71,346,0,0,0
AT4G36680,0,0,0,20,0,4,45,7,15,0,0,0
AT4G36690,0,0,0,107,0,122,266,80,389,21,0,0
AT4G36700,0,0,0,0,0,0,0,0,0,0,0,0
AT4G36710,0,0,4,9,0,3,38,11,20,0,0,0
AT4G36720,0,0,0,0,0,8,47,78,57,0,0,0
AT4G36730,0,0,0,52,0,41,121,132,261,9,0,0
AT4G36740,0,0,0,0,0,0,0,0,0,0,0,0
AT4G36750,0,0,0,30,0,10,115,48,50,0,0,0
AT4G36760,0,0,0,40,0,26,196,116,190,14,0,0
AT4G36770,0,0,0,4,3,0,3,4,15,0,0,0
AT4G36780,5,0,0,38,0,36,129,109,131,4,0,0
AT4G36790,0,0,0,6,0,24,82,31,65,0,0,0
AT4G36791,0,0,0,0,0,2,1,1,4,0,0,0
AT4G36800,0,0,0,54,0,22,274,154,176,0,0,0
AT4G36808,0,0,0,0,0,0,0,0,0,0,0,0
