"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT3G41768",35964111.7556902,-5.13250587962935,0.87882564450405,-5.84018674435222,5.21423413739173e-09,0.000102501414672847
"AT2G01010",25711191.0997729,-4.93069390064942,0.88946073759109,-5.54346436246655,2.96545050850495e-08,0.000291474130480951
"AT2G01021",658228.325206142,-3.88010384748121,0.814270025795514,-4.76513162042344,1.8873040996647e-06,0.0123668746637363
"AT1G01010",0.486122557399193,0.620307696935865,3.4873319055229,0.177874579690417,0.858821474935735,1
"AT1G01020",0.725190647860306,0.834092162860626,3.14833645831429,0.264931075158092,0.79106255889522,1
"AT1G01030",0.0576219139339065,1.08675479656431,4.28432864596606,0.253658130915692,0.799759682951306,1
"AT1G01040",16.6557238615942,-0.362380806083948,1.12394265687401,-0.322419301258506,0.747135064011609,1
"AT1G01046",0.0812573764523151,1.58237757705698,4.2735767689185,0.370270071796891,0.711181270867039,1
"AT1G01050",2.71334296211999,0.892953174662635,1.37729207871538,0.648339730157678,0.516765242540976,1
"AT1G01060",1.61763295275896,0.70350762059699,4.11766432890153,0.170851134139112,0.864340820899492,1
"AT1G01070",0.078092994030687,1.53990272251372,4.2743628995826,0.360264853193466,0.718649080172589,1
"AT1G01080",3.9044873845846,0.377526117793009,1.37350202339809,0.274863896347963,0.783420805682301,1
"AT1G01090",15.3959443363151,-0.668331974225568,0.752959201552753,-0.887607154341607,0.374752103917743,1
"AT1G01100",6.8968770241958,0.362891531246217,0.704205925278356,0.515320190046362,0.606329292593006,1
"AT1G01110",0.0713861744912331,1.42484016699885,4.27661037219687,0.333170441773707,0.739005628785901,1
"AT1G01120",13.400680184806,0.234186733468514,1.01379430617301,0.231000245358005,0.817314611416318,1
"AT1G01130",0.189910816211085,0.505456834008426,4.1917423276047,0.120583946842281,0.904020584614121,1
"AT1G01140",15.8779628975757,0.266437691477514,0.942866498557046,0.282582626368916,0.777496799885128,1
"AT1G01160",6.49411599710709,-0.42946072592829,1.14918734674649,-0.373708192266608,0.708621429699101,1
"AT1G01170",4.96637274251796,1.4783973407522,1.48988671355084,0.992288425224459,0.321056847999646,1
"AT1G01180",7.0020977262682,-0.578137605413031,1.45168976342834,-0.398251485942622,0.690444817627391,1
"AT1G01190",0.0550607118494976,-4.43381315011281,4.33847967687006,-1.02197393565101,0.306793236737607,1
"AT1G01200",0.0443374403125874,0.756413115532771,4.29378492889526,0.176164649151952,0.860164592303979,1
"AT1G01210",0.470072745292217,0.569597662579648,3.42585268455781,0.16626449384328,0.867948806898831,1
"AT1G01220",1.31405254719589,0.638386094919948,2.90382486647535,0.219843180726948,0.825993288838654,1
"AT1G01225",0.116423973870817,0.135853022430721,4.21487469240041,0.0322318057700907,0.974287192013177,1
"AT1G01230",4.8342172164655,-0.135509737546625,0.925241661994661,-0.146458750305828,0.883559251211228,1
"AT1G01240",6.87170270831933,0.492394305096032,1.24382692830737,0.395870433329576,0.692200613793302,1
"AT1G01250",1.08775814922295,1.41064177233428,3.06401037190618,0.460390664884301,0.645235834034079,1
"AT1G01260",3.65590501690266,0.799787268511762,0.931363726365652,0.858727096483213,0.39049109738485,1
"AT1G01290",1.33363759508292,1.30270510141694,1.70379606506007,0.764589805160168,0.444515841768943,1
"AT1G01300",13.7158410909336,-0.635840597848178,1.20533331340462,-0.527522628618109,0.597830706551159,1
"AT1G01310",0.0394110580556332,0.589794229662598,4.29941587542646,0.137180083702439,0.890888452976282,1
"AT1G01320",68.395544055559,-0.0875343780336595,0.697252476487791,-0.125541867523496,0.900094581714429,1
"AT1G01340",2.04582363301165,-0.0436980250787427,1.4912746995341,-0.029302465261695,0.976623360753471,1
"AT1G01350",1.45286019346807,-0.0168290635267241,1.68419901397827,-0.00999232477103285,0.992027411011476,1
"AT1G01360",1.73254695170053,1.19668468405277,1.49401968043563,0.800983213088492,0.423141364184899,1
"AT1G01390",1.32114815202357,-1.43589083498509,1.95119772931547,-0.735902268341013,0.461790176720627,1
"AT1G01420",2.21867679486071,0.127242933415471,1.57466558591163,0.0808063213890623,0.935595980771306,1
"AT1G01430",10.6432551401823,-0.836746428541936,1.09901261762365,-0.761361985407589,0.446440886621846,1
"AT1G01440",5.03103325932665,-0.0460242287610013,0.714445545548258,-0.0644195055141435,0.948636199129235,1
"AT1G01448",1.31331072295852,-0.458223005250451,1.87023276132491,-0.245008543709734,0.806449816024146,1
"AT1G01450",0.754638183114919,0.884299317815771,3.60974674322604,0.244975445846783,0.806475443545462,1
"AT1G01453",0.0571236895507254,1.05877394512423,4.28505030335805,0.247085534630599,0.804842028413084,1
"AT1G01470",63.1739309444687,-0.0674616899174926,1.04194740208694,-0.0647457729462848,0.948376417712293,1
"AT1G01480",0.0856855343260881,1.6550702914292,4.27228306826668,0.387397151589182,0.698462212200824,1
"AT1G01490",26.0997995781954,0.474934853021612,1.06911186147146,0.444233078069062,0.656874079429046,1
"AT1G01500",2.63203516494314,0.634229329880535,1.48139090727286,0.428130972565578,0.668555768275416,1
"AT1G01510",2.61988390549281,0.0190647138597082,1.50215278913127,0.0126915943555474,0.989873844660189,1
"AT1G01520",0.255208974584985,-0.771086989279935,4.17385501973884,-0.184742159378641,0.853431276892474,1
"AT1G01540",9.54478961968895,0.600231973212761,1.47544169618236,0.406815108157668,0.684143789494258,1
"AT1G01550",28.4761736311424,-0.107521102226958,1.14383652048648,-0.0940004102869777,0.925108830818847,1
"AT1G01560",2.15546503597593,-0.869417708869781,1.50303485327197,-0.578441482562522,0.562966094179829,1
"AT1G01570",0.0773274429617231,1.52397697363739,4.27466357024618,0.356513898367357,0.721455745582887,1
"AT1G01580",1.3791628449917,-4.55163489865661,4.13753656981077,-1.1000833036419,0.271295827796234,1
"AT1G01590",0.034484675798679,0.401322371084162,4.30659294662154,0.0931879042339011,0.9257542835963,1
"AT1G01600",0.222727856541944,0.391649711492716,4.18244079178981,0.0936414239889611,0.925394002583141,1
"AT1G01610",4.8434699968527,-1.52340518318198,1.61213829172068,-0.944959369184144,0.344679619716389,1
"AT1G01620",32.3517533563599,0.514275532412404,1.1132881469543,0.461942879585437,0.644122283128988,1
"AT1G01630",6.33559498105834,0.85049969385035,1.82047202236833,0.46718635793364,0.640366553062323,1
"AT1G01640",0.489177093091628,4.18867088569546,4.25142589949836,0.985239066777501,0.324506655183118,1
"AT1G01650",7.64128685726205,0.013801186064326,0.751439709929875,0.0183663251781223,0.985346616524183,1
"AT1G01660",0.120668434507948,2.1670352887949,4.26478374262601,0.508123135795993,0.611366991111007,1
"AT1G01670",0.0999664567137695,1.88072320431423,4.2686527034907,0.440589416603572,0.659510266072653,1
"AT1G01680",0.123159556423854,2.21238220542688,4.26423760776022,0.518822450559674,0.603884560560545,1
"AT1G01690",0.25603072188531,-0.0483393571266675,4.17392734936701,-0.0115812646173629,0.990759694328091,1
"AT1G01700",0.407019838633865,1.37422582140522,3.54545238084599,0.387602391398446,0.698310298939899,1
"AT1G01710",2.73289922118212,1.03943027268842,1.37803765925897,0.754282922316769,0.450679354649906,1
"AT1G01720",7.46246347442096,0.194312342068041,1.38198247839152,0.140604056206414,0.888182743685552,1
