"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT3G44310",139.172723234574,-21.0498662887008,1.89984063231557,-11.0798063430429,1.57212230702861e-28,3.74007896842105e-25
"AT2G30860",112.062345669147,-20.8078432248817,1.97488228163468,-10.536244827544,5.88001148254104e-26,6.99427365848257e-23
"AT1G56220",101.509101825552,-20.6910153140125,2.01695937490812,-10.2585186253219,1.08356194759381e-24,8.59264624441893e-22
"AT4G27440",64.4935135205998,-20.1093445937343,2.04427041959579,-9.83692979215072,7.80565347990536e-23,4.64241240717371e-20
"AT1G15125",79.8604653214038,-20.6109788351443,2.25505431872824,-9.13990348878515,6.25080892746039e-20,2.97413488768566e-17
"AT2G35930",50.4828079529113,6.49911412078651,0.99043488468338,6.5618792525307,5.31338352055626e-11,2.10675656590056e-08
"AT2G43150",20.0951558837436,-18.3620202902073,2.85374221146958,-6.43436545053294,1.23990214769054e-10,4.21389601336543e-08
"AT1G15010",20.6440161754106,7.68569734109324,1.20187530547544,6.39475435270129,1.60805661648784e-10,4.25062965624952e-08
"AT3G16420",12.3190320572283,-15.4304947104965,2.412153831294,-6.39697788354518,1.58482271459631e-10,4.25062965624952e-08
"AT3G10300",42.3833442744659,3.37859065019657,0.568708189016702,5.94081589723223,2.83606976759565e-09,6.74700997711006e-07
"AT2G01021",658228.325206142,4.8029261490128,0.814264179246475,5.89848635298861,3.66851302026828e-09,7.93399315928932e-07
"AT2G01010",25711191.0997729,5.19629579180622,0.889460195281692,5.84207794724367,5.15536723779193e-09,1.02205155489225e-06
"AT3G41768",35964111.7556902,5.07743714124959,0.87882523450999,5.77752770615495,7.5806241924283e-09,1.38725422721438e-06
"AT1G56660",94.9753333900013,6.08441924373143,1.05710902146431,5.75571593864867,8.62753577093151e-09,1.46606482850329e-06
"AT1G09940",24.5487964349645,4.84507598190846,0.910522166998755,5.32120596017855,1.03081617883307e-07,1.63487445962924e-05
"AT4G34710",174.270216208783,4.38663289148155,0.826975863851318,5.30442674717557,1.13027618890602e-07,1.68057940837963e-05
"AT2G17840",123.642570870561,3.23496993338063,0.631874668995132,5.11963858042481,3.06121752884071e-07,4.28390382418356e-05
"AT2G06050",57.0071175484265,4.21310069725209,0.848010122898819,4.96821981658676,6.75703418903997e-07,8.93054685318116e-05
"AT1G32920",37.6482020175503,4.1525050744453,0.865630483512797,4.79708738721181,1.6098937898182e-06,0.00018237796790369
"AT4G06477",89.80595516536,5.74086025692605,1.19445309297508,4.80626681004861,1.53774651655915e-06,0.00018237796790369
"AT5G66620",19.0801119084701,9.45123002800131,1.96593810207516,4.80749115042074,1.52836182271231e-06,0.00018237796790369
"AT1G76650",19.709948051134,4.44186770774516,0.943761094266686,4.70655946163636,2.51932524563524e-06,0.000272430670880284
"AT5G52640",70.6314703501882,6.94435153489782,1.48370350741945,4.68041728025291,2.86291608578906e-06,0.000296125102960529
"AT1G09070",150.796567936882,3.69621612635284,0.797308426602634,4.6358673795818,3.5544381402558e-06,0.000352333680652856
"AT5G60360",108.677749361331,-6.58636117828696,1.50612262617743,-4.37305772040837,1.22518313974423e-05,0.00116588427578061
"AT5G13210",10.5482136842596,4.36064980023251,1.00139356469721,4.35458140930936,1.33321428513795e-05,0.00121989107090123
"AT2G45960",69.4452859330809,-5.95746317031433,1.37154697192398,-4.34360856191263,1.40161164259466e-05,0.00123497559175285
"AT4G31800",54.9956097660063,4.34676541755518,1.01954057917962,4.26345503682925,2.01290019675432e-05,0.00171024627431376
"AT3G52450",11.2276086964935,6.84758908028772,1.61862421772199,4.23049958434752,2.3317287464803e-05,0.00191282161650919
"AT3G63380",27.1315274443873,7.34955024473694,1.74428593784766,4.21350082877228,2.51442664185559e-05,0.00199394032699148
"AT3G14210",107.939187769856,-6.85152707593718,1.63248340875325,-4.19699645288879,2.70478167967084e-05,0.00207570181159256
"AT3G55840",22.078272898119,5.45001410473253,1.31012902357197,4.15990639599257,3.18378047891569e-05,0.00236694179979388
"AT2G01020",6612423.42556556,4.81271682427632,1.15922150535501,4.15168007325954,3.3004342571655e-05,0.0023793130599384
"AT4G21850",14.3420074111511,7.05580275223402,1.70845801128881,4.1299245902516,3.62882242431826e-05,0.00253910839630975
"AT1G18300",26.1343944573142,4.59621037190567,1.11533681093536,4.12091695247746,3.77367447137632e-05,0.00256502044782979
"AT4G29780",85.2543629235105,4.31415824346312,1.064005822837,4.05463781387975,5.02120407759261e-05,0.00331817902794245
"AT4G00360",37.695878316461,-5.16882087969654,1.30974005481176,-3.94644789300532,7.93191739151626e-05,0.00510000850659924
"AT5G14740",47.4067780203585,-5.6850389993907,1.44421593446934,-3.9364189687324,8.27065291103467e-05,0.00517786401982934
